연번,시·도,호소명,지정일자,지정권자,시작,종료,호소 용수목적
124,경북,대풍지,12/31/12,경산시장,2020/01/01,2023/12/31,농업용
125,경북,신지,12/31/12,경산시장,2020/01/01,2023/12/31,농업용
126,경북,적제지,12/28/12,경산시장,2019/01/01,2023/12/31,농업용
127,경북,반곡지,2008/6/14,경산시장,2021/01/01,2023/12/31,농업용
128,경북,연호지,7/22/03,울진군수,2003/07/22,계속,농업용
129,경북,군위댐,12/20/10,군위군수,2010/12/20,계속,"공업용,생활용"
130,경북,부항호,2008/4/16,김천시장,2016/08/04,계속,"공업용,생활용"
131,경북,동명지,2004/7/17,칠곡군수,2017/04/07,계속,농업용
132,경북,창평저수지,10/28/20,군위군수,2020/11/18,계속,농업용
133,경북,호촌늪,2008/9/21,고령군수,2021/10/01,계속,농업용
134,경북,성덕댐,10/21/19,청송군수,2019/10/21,계속,농업용
135,경남,주남·동판저수지,1/1/99,창원시장,1999/01/01,계속,농업용
136,경남,노단이저수지,11/20/00,창녕군수,2000/11/20,계속,상수원
137,경남,구천호,2/15/01,거제시장,2001/02/15,계속,상수원
138,경남,소동호,2/15/01,거제시장,2001/02/15,계속,상수원
139,경남,산남저수지,2001/1/16,창원시장,2016/01/01,계속,농업용
140,경남,대가저수지,2004/1/21,고성군수,2021/04/01,계속,농업용
